grade,emp_length,home_ownership,income,state,debt to income,earliest credit,
A,10+ years,MORTGAGE,150000,MS,14.69,2004,
A,10+ years,MORTGAGE,80000,PA,14.09,1986,
A,10+ years,RENT,60000,CA,22.72,1991,
A,5 years,OWN,80000,MS,22.84,2001,
A,2 years,RENT,60000,CA,7.32,2007,
A,< 1 year,MORTGAGE,60000,NY,21.82,2004,
A,10+ years,MORTGAGE,125000,MA,10.88,2005,
A,< 1 year,MORTGAGE,40000,AZ,64.38,1989,
A,6 years,RENT,30000,NV,22.2,1994,
A,2 years,MORTGAGE,80000,MO,11.54,2001,
A,5 years,RENT,60000,CT,18.34,1996,
A,10+ years,MORTGAGE,100000,IL,17.32,1984,
A,2 years,RENT,40000,NY,26.26,2007,
A,2 years,RENT,60000,TX,21.14,2004,
A,5 years,RENT,30000,TX,23.29,1987,
A,2 years,MORTGAGE,80000,KS,11.82,1995,
A,3 years,MORTGAGE,40000,TN,23.02,2008,
A,3 years,RENT,15000,VA,9.24,2001,
A,10+ years,MORTGAGE,40000,FL,24.54,1987,
A,7 years,OWN,40000,IL,26.68,2005,
A,2 years,RENT,80000,PA,10.13,2003,
A,10+ years,OWN,150000,NY,15.64,1990,
A,10+ years,OWN,40000,FL,25.49,1979,
A,10+ years,RENT,125000,CA,9.27,2001,
A,< 1 year,MORTGAGE,125000,CA,16.04,1999,
A,5 years,RENT,40000,FL,3.67,2008,
A,2 years,MORTGAGE,150000,NJ,13.42,1996,
A,6 years,RENT,20000,OR,15.88,2007,
A,5 years,MORTGAGE,40000,NY,23.71,2003,
A,< 1 year,OWN,30000,DC,6.73,2004,
A,2 years,MORTGAGE,125000,IL,27.14,1985,
A,2 years,MORTGAGE,150000,KY,17.52,1983,
A,n/a,MORTGAGE,40000,SC,14.21,2007,
A,1 year,RENT,40000,CT,13.9,2003,
A,10+ years,RENT,60000,MN,6.1,1997,
A,10+ years,MORTGAGE,150000,NC,15.26,1995,
A,10+ years,MORTGAGE,40000,NC,7.78,1995,
A,< 1 year,MORTGAGE,20000,TX,11.56,2008,
A,8 years,OWN,30000,OH,26.64,2003,
A,10+ years,MORTGAGE,125000,CA,20.56,1987,
A,< 1 year,MORTGAGE,30000,AZ,71.83,2005,
A,1 year,RENT,20000,FL,15.41,2002,
A,10+ years,RENT,40000,NJ,15.05,2004,
A,1 year,RENT,80000,PA,13.72,2006,
A,4 years,RENT,80000,CA,3.63,2006,
A,3 years,MORTGAGE,60000,AZ,10.8,1976,
A,10+ years,MORTGAGE,60000,CA,7.43,1974,
A,1 year,MORTGAGE,60000,MN,17.77,2003,
A,10+ years,RENT,80000,MA,13.94,1992,
A,10+ years,MORTGAGE,150000,NC,13.73,1999,
A,10+ years,MORTGAGE,60000,MN,10.38,1991,
A,5 years,MORTGAGE,30000,OH,26.25,2006,
A,10+ years,OWN,100000,MD,10.74,2001,
A,1 year,MORTGAGE,80000,GA,18.38,2004,
A,2 years,RENT,150000,CA,0.28,2006,
A,4 years,MORTGAGE,20000,KY,14.08,2006,
A,7 years,MORTGAGE,125000,TX,16.3,1985,
A,10+ years,MORTGAGE,60000,CA,23.83,1999,
A,2 years,MORTGAGE,40000,PA,15.94,2004,
A,4 years,MORTGAGE,60000,NY,20.78,1994,
A,10+ years,RENT,80000,FL,22.81,1991,
A,2 years,MORTGAGE,40000,CA,15.98,2003,
A,n/a,RENT,60000,VA,16.91,2002,
A,7 years,MORTGAGE,60000,OR,18.1,2012,
A,1 year,MORTGAGE,40000,WI,6.42,1999,
A,7 years,MORTGAGE,80000,NC,4.52,2004,
A,< 1 year,MORTGAGE,40000,NC,17.81,2007,
A,< 1 year,RENT,30000,AZ,13.71,2005,
A,5 years,MORTGAGE,100000,CA,13.56,1987,
A,10+ years,MORTGAGE,100000,MI,14.09,2003,
A,3 years,OWN,20000,MI,9.73,1992,
A,10+ years,MORTGAGE,125000,IL,20.97,1995,
A,4 years,RENT,60000,FL,19.15,2006,
A,< 1 year,MORTGAGE,100000,CA,3.6,1998,
A,4 years,RENT,60000,IL,15.93,2006,
A,9 years,RENT,60000,NC,1.55,2000,
A,3 years,RENT,30000,CA,9.06,2005,
A,< 1 year,RENT,125000,CA,6.8,2006,
A,9 years,MORTGAGE,80000,NV,14.91,1992,
A,1 year,MORTGAGE,40000,MA,10.4,1994,
A,< 1 year,MORTGAGE,60000,KY,8.56,2009,
A,< 1 year,MORTGAGE,100000,CA,20.42,1984,
A,1 year,RENT,40000,CA,23.97,2007,
A,< 1 year,MORTGAGE,40000,VA,17.1,2001,
A,n/a,MORTGAGE,60000,NV,16.21,1984,
A,10+ years,OWN,150000,NE,10.16,1999,
A,10+ years,MORTGAGE,150000,CT,25.06,1983,
A,< 1 year,MORTGAGE,125000,NJ,15.03,1979,
A,10+ years,RENT,60000,LA,13.9,2000,
A,7 years,RENT,40000,MD,23.7,2005,
A,4 years,MORTGAGE,40000,MI,12.24,2007,
A,6 years,MORTGAGE,100000,NJ,26.25,1999,
A,10+ years,MORTGAGE,60000,IL,15.92,1994,
A,2 years,MORTGAGE,60000,GA,6.13,2013,
A,8 years,MORTGAGE,80000,FL,11.35,1991,
A,10+ years,RENT,40000,CA,14.88,1996,
A,n/a,MORTGAGE,20000,NE,12.12,2005,
A,2 years,MORTGAGE,150000,CA,9.34,2002,
A,3 years,MORTGAGE,40000,CA,12.83,2003,
A,7 years,MORTGAGE,150000,VA,5.2,2000,
A,10+ years,MORTGAGE,150000,CA,4.96,1997,
A,2 years,OWN,30000,FL,5.96,2001,
A,n/a,OWN,40000,MO,9.19,2000,
A,10+ years,RENT,30000,NJ,13.37,2001,
A,1 year,MORTGAGE,100000,FL,34.55,1999,
A,10+ years,MORTGAGE,100000,TX,16.16,1996,
A,10+ years,RENT,40000,CO,8.16,1985,
A,10+ years,RENT,40000,FL,1.27,1995,
A,10+ years,MORTGAGE,80000,NM,16.41,1992,
A,6 years,OWN,30000,NJ,18.48,1994,
A,10+ years,OWN,80000,CO,14.4,2001,
A,10+ years,OWN,60000,OH,10.18,1998,
A,n/a,MORTGAGE,30000,PA,24.25,2011,
A,9 years,RENT,40000,ME,13.09,1997,
A,< 1 year,MORTGAGE,40000,MD,14.61,2009,
A,10+ years,OWN,40000,NJ,5.12,1994,
A,10+ years,MORTGAGE,125000,OK,12.82,1996,
A,3 years,MORTGAGE,150000,NV,8.07,1988,
A,1 year,MORTGAGE,15000,MN,10.98,2011,
A,10+ years,MORTGAGE,150000,CA,7,2002,
A,7 years,MORTGAGE,80000,SC,10.03,2001,
A,n/a,OWN,20000,CA,7.47,2000,
A,< 1 year,RENT,20000,CA,11.42,2000,
A,n/a,OWN,30000,TX,8.09,1990,
A,7 years,MORTGAGE,125000,MD,8.76,2007,
A,n/a,MORTGAGE,40000,IL,25.59,1996,
A,10+ years,MORTGAGE,125000,FL,20.22,2003,
A,6 years,MORTGAGE,60000,NY,28.4,2003,
A,1 year,RENT,40000,TX,35.62,1993,
A,< 1 year,RENT,60000,SC,22.46,1992,
A,< 1 year,RENT,20000,NY,0.6,2011,
A,n/a,RENT,40000,NC,23.86,1973,
A,2 years,RENT,40000,ME,13.29,2008,
A,10+ years,OWN,30000,FL,13.31,1985,
A,4 years,MORTGAGE,40000,FL,5.28,2005,
A,5 years,MORTGAGE,40000,GA,15.24,2003,
A,< 1 year,OWN,40000,KS,21.43,1998,
A,5 years,MORTGAGE,150000,MD,23.15,2005,
A,10+ years,RENT,40000,NY,13.56,1999,
A,3 years,RENT,100000,MA,22.24,1979,
A,10+ years,RENT,125000,NY,12.26,2000,
A,10+ years,MORTGAGE,100000,UT,29.13,1994,
A,1 year,OWN,60000,AZ,5.11,1974,
A,3 years,MORTGAGE,80000,MD,10.67,1989,
A,10+ years,OWN,60000,GA,22.46,2011,
A,4 years,RENT,15000,FL,24.25,1999,
A,6 years,MORTGAGE,100000,GA,9.24,2002,
A,< 1 year,RENT,80000,TX,29.36,2003,
A,10+ years,RENT,80000,CA,15.01,2002,
A,10+ years,MORTGAGE,150000,NJ,13.52,1999,
A,10+ years,RENT,60000,TX,17.02,2009,
A,8 years,RENT,20000,NY,23.28,2007,
A,10+ years,RENT,40000,TX,5.17,1989,
A,4 years,RENT,100000,NY,8.75,1996,
A,5 years,RENT,100000,NY,6.11,2008,
A,2 years,MORTGAGE,100000,GA,14.69,1986,
A,10+ years,RENT,125000,NJ,15.65,1985,
A,10+ years,OWN,60000,TX,21.9,1992,
A,n/a,MORTGAGE,100000,AL,15.45,1983,
A,7 years,MORTGAGE,40000,PA,14.14,1998,
A,10+ years,MORTGAGE,80000,MA,24.74,1995,
A,< 1 year,MORTGAGE,60000,OH,2.67,2001,
A,2 years,MORTGAGE,60000,TX,8.11,1999,
A,< 1 year,MORTGAGE,150000,NY,1.15,2007,
A,10+ years,MORTGAGE,150000,MD,20.56,1988,
A,3 years,MORTGAGE,100000,MD,21.96,2003,
A,10+ years,OWN,40000,MI,28.91,2004,
A,10+ years,RENT,40000,NM,13.52,2003,
A,10+ years,MORTGAGE,40000,KY,22.4,2005,
A,10+ years,MORTGAGE,150000,CA,15.97,1994,
A,< 1 year,RENT,30000,NC,12.5,2010,
A,4 years,MORTGAGE,60000,MD,6.38,2006,
A,10+ years,MORTGAGE,80000,AL,16.58,1978,
A,n/a,MORTGAGE,60000,GA,21.39,1995,
A,1 year,MORTGAGE,125000,GA,3.63,2004,
A,10+ years,RENT,60000,TX,34.33,2005,
A,10+ years,MORTGAGE,60000,CA,25.83,1995,
A,10+ years,MORTGAGE,40000,NY,14.63,1996,
A,6 years,MORTGAGE,100000,CA,14.8,1984,
A,< 1 year,MORTGAGE,20000,IL,26.41,1996,
A,10+ years,OWN,60000,KY,17.23,1995,
A,7 years,OWN,40000,CA,19.2,1978,
A,n/a,RENT,30000,GA,15.09,1979,
A,10+ years,OWN,40000,LA,18.9,1993,
A,3 years,MORTGAGE,60000,WI,27.47,1999,
A,4 years,RENT,100000,GA,5.48,1989,
A,3 years,MORTGAGE,30000,KY,7.69,2001,
A,2 years,MORTGAGE,60000,NC,23.96,2004,
A,4 years,RENT,20000,CA,16.46,2007,
A,1 year,MORTGAGE,60000,WI,28.77,2005,
A,10+ years,MORTGAGE,150000,NJ,16.76,1979,
A,2 years,OWN,150000,TX,16.06,2004,
A,10+ years,MORTGAGE,80000,FL,16.02,2002,
A,10+ years,MORTGAGE,40000,MN,16.76,1994,
A,< 1 year,MORTGAGE,60000,AZ,21.03,1997,
A,n/a,MORTGAGE,80000,CA,4.48,1997,
A,9 years,MORTGAGE,150000,CO,17.3,1997,
A,5 years,RENT,40000,TX,12.54,2004,
A,n/a,RENT,60000,MA,19.83,2003,
A,4 years,MORTGAGE,40000,MD,26.05,2000,
A,7 years,OWN,100000,MS,20.23,2000,
A,2 years,RENT,30000,TX,16.47,2008,
A,n/a,OWN,20000,NC,15.6,1996,
A,5 years,RENT,60000,MA,22.77,1998,
A,10+ years,MORTGAGE,125000,OH,25.9,1988,
A,10+ years,RENT,100000,CA,15.2,1996,
A,10+ years,MORTGAGE,100000,TX,1.29,2000,
A,10+ years,MORTGAGE,125000,MD,10.92,2004,
A,10+ years,RENT,40000,FL,3.49,2008,
A,2 years,MORTGAGE,100000,TX,23.31,2000,
A,10+ years,MORTGAGE,60000,PA,9.3,1995,
A,6 years,OWN,40000,FL,18.28,2001,
A,10+ years,MORTGAGE,40000,RI,6.88,1997,
A,n/a,OWN,30000,IN,28.99,1982,
A,8 years,OWN,80000,TX,11.32,2007,
A,2 years,RENT,20000,NY,8.3,2004,
A,10+ years,RENT,125000,VA,5.97,2000,
A,< 1 year,MORTGAGE,150000,GA,1.65,1993,
A,10+ years,MORTGAGE,100000,MA,21.96,1996,
A,10+ years,MORTGAGE,80000,NV,0.77,2000,
A,5 years,MORTGAGE,150000,AZ,8.93,2007,
A,2 years,OWN,60000,PA,20.59,2005,
A,9 years,RENT,40000,NV,21.75,2005,
A,2 years,MORTGAGE,60000,WI,15.5,2006,
A,5 years,RENT,125000,DC,5.8,2002,
A,10+ years,MORTGAGE,100000,RI,7.19,2004,
A,2 years,RENT,30000,CO,30.21,2002,
A,9 years,MORTGAGE,60000,CO,12.29,1999,
A,5 years,OWN,30000,SC,21.49,2007,
A,n/a,MORTGAGE,80000,AZ,16.88,2002,
A,2 years,MORTGAGE,40000,DE,1.88,1994,
A,10+ years,RENT,30000,CA,33.3,2003,
A,4 years,RENT,60000,CA,12.84,2008,
A,9 years,MORTGAGE,60000,MO,22.86,2004,
A,2 years,RENT,100000,NV,22.3,1994,
A,1 year,MORTGAGE,150000,CA,13.59,1999,
A,< 1 year,RENT,20000,CT,23.27,2012,
A,10+ years,MORTGAGE,40000,TX,23.12,2005,
A,10+ years,MORTGAGE,60000,NH,11.21,2003,
A,2 years,MORTGAGE,80000,MA,13.48,2007,
A,10+ years,MORTGAGE,100000,NY,4.66,2005,
A,10+ years,OWN,40000,LA,19.59,2003,
A,10+ years,MORTGAGE,40000,VA,21.33,1998,
A,10+ years,MORTGAGE,150000,NY,10.91,1997,
A,10+ years,MORTGAGE,40000,NJ,20.85,2004,
A,5 years,RENT,40000,MO,17.25,2008,
A,8 years,RENT,60000,CO,9.26,2003,
A,10+ years,MORTGAGE,150000,KS,13.18,2000,
A,1 year,MORTGAGE,40000,NE,20.55,1998,
A,< 1 year,RENT,40000,NJ,5.47,1989,
A,10+ years,RENT,60000,CA,1.41,2003,
A,10+ years,MORTGAGE,60000,NY,16.2,2000,
A,10+ years,MORTGAGE,80000,MA,18.95,2000,
A,< 1 year,MORTGAGE,125000,UT,4.97,1999,
A,10+ years,MORTGAGE,125000,CA,15.31,1994,
A,10+ years,MORTGAGE,150000,CT,17.29,1990,
A,10+ years,RENT,150000,WA,18.35,1987,
A,10+ years,MORTGAGE,60000,RI,19.07,2004,
A,10+ years,RENT,80000,OR,13.82,1994,
A,10+ years,MORTGAGE,60000,MD,21.68,1999,
A,10+ years,MORTGAGE,60000,CA,21.35,1989,
A,5 years,MORTGAGE,150000,GA,7.42,1974,
A,n/a,RENT,40000,CA,10.7,1985,
A,2 years,MORTGAGE,150000,FL,4.95,1978,
A,5 years,MORTGAGE,40000,WY,14.6,1999,
A,10+ years,MORTGAGE,100000,CT,21.33,1978,
A,10+ years,MORTGAGE,80000,OR,8.29,1998,
A,5 years,MORTGAGE,60000,OH,19.2,2000,
A,< 1 year,MORTGAGE,100000,OK,10.98,2005,
A,< 1 year,MORTGAGE,30000,TX,21.7,2004,
A,7 years,MORTGAGE,60000,CA,32.53,1999,
A,10+ years,RENT,150000,CA,9.19,1994,
A,5 years,MORTGAGE,150000,WA,18.88,1991,
A,< 1 year,RENT,10000,NY,100.9,2007,
A,10+ years,MORTGAGE,60000,FL,14.33,1987,
A,n/a,MORTGAGE,40000,MI,22.76,1950,
A,2 years,RENT,100000,MD,26.93,2008,
A,< 1 year,MORTGAGE,150000,TX,8.97,1990,
A,10+ years,MORTGAGE,100000,KS,17.03,1981,
A,10+ years,OWN,40000,TX,13.39,1982,
A,< 1 year,MORTGAGE,40000,IN,13.42,2005,
A,7 years,RENT,40000,CA,16.7,2007,
A,5 years,RENT,40000,TX,23.55,2007,
A,6 years,MORTGAGE,80000,AL,16.52,1998,
A,10+ years,MORTGAGE,150000,AL,10.24,1992,
A,2 years,MORTGAGE,40000,PA,18.27,1995,
A,n/a,MORTGAGE,60000,AZ,14.49,2002,
A,10+ years,MORTGAGE,40000,CA,8.74,2000,
A,5 years,MORTGAGE,40000,MA,12.16,1987,
A,< 1 year,RENT,150000,CA,13.55,1994,
A,n/a,MORTGAGE,10000,MI,181.11,1991,
A,10+ years,MORTGAGE,60000,NE,11.85,2002,
A,n/a,RENT,20000,TN,29.93,2004,
A,10+ years,MORTGAGE,40000,NV,28.66,1999,
A,< 1 year,MORTGAGE,125000,MA,11.69,1991,
A,10+ years,MORTGAGE,100000,TX,20.45,2003,
A,10+ years,MORTGAGE,60000,CO,9.89,1997,
A,8 years,MORTGAGE,100000,MO,8,1997,
A,n/a,MORTGAGE,20000,UT,5.89,1979,
A,1 year,MORTGAGE,40000,FL,15.86,2000,
A,10+ years,MORTGAGE,80000,CA,7.93,1999,
A,4 years,MORTGAGE,40000,OH,10.82,2000,
A,n/a,MORTGAGE,20000,TX,11.95,1979,
A,1 year,RENT,20000,IN,29.76,2003,
A,3 years,RENT,60000,FL,27.84,2002,
A,9 years,RENT,80000,CA,28.37,1997,
A,6 years,MORTGAGE,60000,TN,17.9,1989,
A,5 years,RENT,150000,CA,6.8,1990,
A,10+ years,MORTGAGE,60000,OR,12.6,1993,
A,10+ years,MORTGAGE,60000,NC,13.77,2000,
A,1 year,RENT,30000,NJ,9.57,2002,
A,9 years,MORTGAGE,60000,GA,27.19,1999,
A,4 years,MORTGAGE,150000,AZ,5.94,1991,
A,< 1 year,RENT,80000,PA,7.1,2007,
A,10+ years,RENT,125000,TN,12.35,2000,
A,10+ years,RENT,40000,MN,1.7,1990,
A,1 year,RENT,150000,CA,19.06,1990,
A,10+ years,MORTGAGE,60000,NY,10.66,2002,
A,3 years,RENT,100000,MA,13.61,2003,
A,10+ years,MORTGAGE,60000,KY,4.27,2000,
A,< 1 year,RENT,80000,KS,9.64,2008,
A,9 years,MORTGAGE,60000,IL,22.31,2003,
A,1 year,MORTGAGE,40000,SC,29.17,2003,
A,10+ years,MORTGAGE,30000,VA,25.58,2002,
A,7 years,MORTGAGE,125000,CA,2.69,2007,
A,4 years,MORTGAGE,125000,FL,15.77,2000,
A,4 years,RENT,60000,MD,5.88,2006,
A,10+ years,OWN,60000,MI,7.32,2002,
A,3 years,MORTGAGE,150000,NY,9.03,1984,
A,10+ years,MORTGAGE,30000,VA,5.38,1998,
A,5 years,RENT,150000,VA,8.61,1988,
A,10+ years,MORTGAGE,150000,WA,24.94,1986,
A,10+ years,MORTGAGE,60000,TX,18.34,2005,
A,< 1 year,MORTGAGE,40000,AL,37.59,1999,
A,< 1 year,MORTGAGE,60000,WI,28.06,1997,
A,2 years,RENT,60000,PA,24.56,1977,
A,8 years,RENT,30000,WA,22.83,1986,
A,n/a,MORTGAGE,30000,MO,9.24,2006,
A,10+ years,MORTGAGE,60000,NJ,22.1,2006,
A,10+ years,MORTGAGE,80000,RI,9.27,2000,
A,10+ years,MORTGAGE,125000,CO,10.51,2004,
A,2 years,MORTGAGE,150000,IL,3.62,2004,
A,10+ years,MORTGAGE,150000,GA,12.94,1991,
A,7 years,MORTGAGE,40000,CA,13.39,1993,
A,10+ years,OWN,60000,CT,18.77,2001,
A,10+ years,RENT,125000,CA,12.46,1988,
A,10+ years,MORTGAGE,150000,NC,5.28,1996,
A,3 years,RENT,40000,NJ,29,2006,
A,10+ years,RENT,60000,TX,16.88,1996,
A,8 years,MORTGAGE,80000,TX,14.86,1997,
A,10+ years,RENT,60000,AK,22.22,2000,
A,9 years,RENT,150000,DC,17.12,1998,
A,3 years,MORTGAGE,150000,MD,15.39,2003,
A,2 years,MORTGAGE,40000,MO,16.87,2006,
A,< 1 year,MORTGAGE,40000,WI,15.15,1989,
A,8 years,MORTGAGE,60000,OK,4.41,2010,
A,2 years,MORTGAGE,40000,OK,26.04,2004,
A,2 years,MORTGAGE,80000,CT,0.42,2004,
A,6 years,RENT,40000,CT,9.75,1996,
A,8 years,MORTGAGE,40000,MA,19.55,1988,
A,2 years,MORTGAGE,150000,MD,3.87,1995,
A,10+ years,MORTGAGE,150000,NY,17.66,2003,
A,10+ years,MORTGAGE,40000,IL,27.79,1994,
A,n/a,MORTGAGE,30000,MS,27.95,1999,
A,10+ years,OWN,60000,AL,6.42,1994,
A,8 years,MORTGAGE,125000,CO,13.62,2003,
A,n/a,MORTGAGE,40000,CT,13.93,2002,
A,< 1 year,RENT,125000,WA,10.46,2000,
A,< 1 year,OWN,150000,NJ,8.24,2000,
A,1 year,MORTGAGE,40000,IL,14.19,1999,
A,10+ years,MORTGAGE,100000,GA,21.14,2003,
A,3 years,RENT,40000,MN,27.1,2006,
A,1 year,RENT,80000,TX,19.66,2003,
A,10+ years,MORTGAGE,125000,AL,12.64,1980,
A,10+ years,MORTGAGE,100000,RI,7.76,1998,
A,8 years,MORTGAGE,80000,OH,13.16,2001,
A,< 1 year,MORTGAGE,80000,NY,19.99,2007,
A,10+ years,MORTGAGE,30000,GA,21.57,2002,
A,< 1 year,OWN,30000,CT,6.33,2006,
A,10+ years,MORTGAGE,125000,NY,12.58,1999,
A,10+ years,MORTGAGE,100000,NJ,21.69,2007,
A,10+ years,MORTGAGE,60000,FL,23.36,2001,
A,10+ years,OWN,80000,NJ,9.84,1992,
A,1 year,MORTGAGE,150000,KY,12.16,1999,
A,7 years,MORTGAGE,60000,MN,11.97,2003,
A,10+ years,MORTGAGE,150000,NJ,15.16,1996,
A,10+ years,MORTGAGE,80000,FL,24.85,1995,
A,10+ years,RENT,150000,NJ,20.72,1996,
A,7 years,MORTGAGE,80000,KS,28.51,1987,
A,3 years,RENT,20000,CA,13.59,2012,
A,10+ years,MORTGAGE,100000,OH,22.1,1990,
A,10+ years,MORTGAGE,60000,CA,2.65,2002,
A,10+ years,OWN,40000,KY,34.17,2005,
A,6 years,MORTGAGE,80000,TN,15.7,2003,
A,1 year,MORTGAGE,100000,WI,13.93,2002,
A,3 years,MORTGAGE,60000,NV,20.6,1996,
A,4 years,MORTGAGE,60000,MI,19.47,2009,
A,10+ years,MORTGAGE,80000,OH,19.39,2001,
A,3 years,MORTGAGE,100000,AZ,11.75,2005,
A,10+ years,MORTGAGE,60000,NY,14.36,1998,
A,10+ years,RENT,60000,MN,10.28,2002,
A,8 years,RENT,20000,NJ,12.15,1994,
A,10+ years,MORTGAGE,150000,VA,11.47,1992,
A,1 year,MORTGAGE,80000,ND,12.6,2003,
A,9 years,OWN,60000,CT,31.76,1986,
A,< 1 year,MORTGAGE,60000,TN,8.86,1976,
A,10+ years,MORTGAGE,80000,NM,25.3,1997,
A,4 years,MORTGAGE,60000,CA,17.96,2007,
A,n/a,MORTGAGE,60000,NJ,16.31,1980,
A,3 years,RENT,60000,CA,10.67,2007,
A,3 years,MORTGAGE,150000,NY,4.35,2001,
A,8 years,MORTGAGE,150000,PA,28.65,1997,
A,10+ years,MORTGAGE,40000,PA,20.91,2005,
A,10+ years,OWN,40000,CT,10.2,1999,
A,3 years,RENT,30000,FL,4.12,2004,
A,n/a,MORTGAGE,100000,VA,14.47,2004,
A,< 1 year,RENT,60000,IL,18.18,2001,
A,3 years,RENT,30000,NJ,8.58,2004,
A,2 years,OWN,125000,MA,17.46,2000,
A,10+ years,MORTGAGE,60000,FL,9.96,1994,
A,2 years,RENT,40000,CA,12.21,2002,
A,1 year,MORTGAGE,150000,ID,17.71,2006,
A,10+ years,RENT,80000,MA,20.7,1998,
A,3 years,MORTGAGE,60000,TX,15.01,1985,
A,10+ years,OWN,40000,NC,13.06,1985,
A,7 years,MORTGAGE,150000,GA,18.26,1992,
A,10+ years,RENT,100000,CA,11.08,1986,
A,10+ years,MORTGAGE,150000,CO,9.56,2008,
A,2 years,RENT,20000,IN,14.51,2012,
A,10+ years,MORTGAGE,60000,IL,14.7,2002,
A,< 1 year,RENT,40000,NJ,21.4,2004,
A,10+ years,MORTGAGE,80000,IN,16,2000,
A,10+ years,OWN,60000,TN,6.99,1999,
A,10+ years,MORTGAGE,60000,NJ,16.86,2003,
A,10+ years,MORTGAGE,40000,MS,20.37,1997,
A,10+ years,MORTGAGE,80000,VA,11.84,2001,
A,10+ years,RENT,30000,NY,21.37,2000,
A,10+ years,OWN,40000,MT,25.29,1997,
A,< 1 year,MORTGAGE,100000,WY,13.83,1985,
A,< 1 year,MORTGAGE,40000,TX,57.3,2007,
A,2 years,MORTGAGE,125000,FL,31.03,2005,
A,10+ years,MORTGAGE,40000,FL,17.91,2004,
A,3 years,RENT,60000,NM,24.92,2005,
A,10+ years,MORTGAGE,125000,TX,18.58,2001,
A,10+ years,MORTGAGE,60000,TX,11.56,1983,
A,8 years,MORTGAGE,60000,CA,16.91,1998,
A,10+ years,MORTGAGE,60000,MO,21.18,2002,
A,n/a,MORTGAGE,80000,IN,13.7,1987,
A,1 year,MORTGAGE,40000,OH,9.9,2003,
A,9 years,MORTGAGE,125000,NC,7.61,1976,
A,n/a,RENT,60000,NY,25.08,1988,
A,3 years,MORTGAGE,150000,WA,8.28,1994,
A,8 years,RENT,80000,VT,13.37,1934,
A,1 year,OWN,60000,CT,20.61,1986,
A,n/a,MORTGAGE,100000,TX,13.59,2006,
A,3 years,MORTGAGE,30000,NC,13.33,2005,
A,10+ years,RENT,80000,OR,32.49,2003,
A,10+ years,MORTGAGE,150000,NC,16.38,1988,
A,3 years,OWN,40000,LA,3.74,1997,
A,9 years,MORTGAGE,60000,MI,11.02,2002,
A,10+ years,MORTGAGE,125000,MI,7.53,1992,
A,10+ years,MORTGAGE,150000,VA,13.66,1994,
A,10+ years,MORTGAGE,150000,LA,15.69,1998,
A,9 years,MORTGAGE,80000,MA,11.98,2005,
A,1 year,MORTGAGE,60000,MN,26.46,1995,
A,8 years,MORTGAGE,40000,TX,13.04,2006,
A,10+ years,OWN,80000,KY,12.55,1992,
A,10+ years,MORTGAGE,40000,AL,24.42,1991,
A,10+ years,MORTGAGE,150000,MA,3.59,1997,
A,10+ years,RENT,150000,PA,6.24,2008,
A,1 year,OWN,125000,MO,5.82,2000,
A,3 years,RENT,40000,CA,31.64,2005,
A,3 years,MORTGAGE,100000,IL,6.86,2009,
A,10+ years,MORTGAGE,60000,FL,20.32,2006,
A,3 years,MORTGAGE,125000,IL,0.99,2003,
A,10+ years,OWN,60000,TN,18.57,1997,
A,10+ years,OWN,60000,OH,13.27,1996,
A,5 years,MORTGAGE,80000,PA,12.13,2007,
A,1 year,MORTGAGE,125000,KY,25.9,1999,
A,3 years,RENT,60000,AZ,22.95,2008,
A,3 years,OWN,125000,NY,29.17,1983,
A,10+ years,MORTGAGE,80000,GA,18.41,2000,
A,10+ years,OWN,40000,FL,17.52,1999,
A,6 years,MORTGAGE,80000,MI,10.96,2006,
A,2 years,RENT,40000,MA,14.43,2001,
A,10+ years,RENT,20000,TX,13.96,1996,
A,10+ years,MORTGAGE,80000,VA,5.88,2003,
A,n/a,MORTGAGE,80000,IL,8.13,2002,
A,6 years,RENT,100000,WI,11.34,2007,
A,10+ years,MORTGAGE,60000,FL,26.49,1999,
A,3 years,RENT,20000,IL,22.72,2014,
A,3 years,MORTGAGE,150000,IL,23.38,1992,
A,2 years,RENT,80000,CA,21.24,1999,
A,1 year,RENT,40000,CA,24.13,1987,
A,10+ years,RENT,40000,WI,17.39,1999,
A,5 years,MORTGAGE,40000,IL,15.57,2008,
A,2 years,RENT,20000,TX,14.08,2001,
A,10+ years,MORTGAGE,30000,MN,5.91,2002,
A,10+ years,RENT,30000,CA,30.42,2005,
A,5 years,MORTGAGE,60000,CO,14.71,2002,
A,6 years,RENT,30000,NC,17.02,2010,
A,10+ years,RENT,40000,TX,21.95,2000,
A,9 years,RENT,150000,FL,17.86,2007,
A,3 years,RENT,80000,CA,12.29,1995,
A,< 1 year,MORTGAGE,60000,OH,17.24,2001,
A,6 years,MORTGAGE,80000,DE,15.52,1999,
A,8 years,RENT,80000,MA,18.59,2006,
A,5 years,RENT,150000,MD,13.85,1999,
A,8 years,RENT,30000,PA,26.4,2010,
A,10+ years,OWN,30000,MI,10.69,1987,
A,10+ years,MORTGAGE,40000,OH,24.19,2002,
A,1 year,MORTGAGE,60000,TX,13.62,2003,
A,10+ years,OWN,60000,LA,11.32,2000,
A,9 years,RENT,60000,NH,21.74,2003,
A,n/a,RENT,30000,FL,11.35,2005,
A,9 years,MORTGAGE,100000,AK,8.09,1980,
A,10+ years,MORTGAGE,60000,TN,20.75,1990,
