grade,emp_length,home_ownership,income,state,debt to income,earliest credit
C,9 years,RENT,30000,TX,28,2009
C,n/a,MORTGAGE,80000,MD,21,1984
C,< 1 year,RENT,60000,FL,24,1996
C,n/a,MORTGAGE,40000,FL,17,2001
A,10+ years,MORTGAGE,150000,AZ,10,2000
C,6 years,MORTGAGE,100000,SC,34,2005
A,5 years,OWN,20000,AL,14,1999
A,10+ years,MORTGAGE,60000,NJ,6,1993
C,2 years,MORTGAGE,60000,FL,1,2005
A,10+ years,RENT,150000,TN,20,1998
C,7 years,RENT,80000,FL,22,2001
C,3 years,RENT,40000,KY,31,2003
C,5 years,OWN,60000,FL,7,2004
C,< 1 year,RENT,60000,FL,20,2012
C,6 years,RENT,60000,NJ,32,2005
C,1 year,OWN,40000,CT,27,2000
C,2 years,MORTGAGE,100000,TX,11,2004
C,10+ years,RENT,30000,IL,28,1999
C,< 1 year,MORTGAGE,80000,TX,30,2006
C,3 years,OWN,30000,OR,5,1998
C,4 years,RENT,40000,MN,32,2001
C,2 years,MORTGAGE,60000,MD,20,2005
C,10+ years,RENT,100000,NV,5,1987
C,10+ years,MORTGAGE,80000,NV,17,1999
A,2 years,MORTGAGE,40000,OH,29,2002
A,2 years,MORTGAGE,40000,SC,9,1985
C,< 1 year,MORTGAGE,40000,PA,16,2006
C,4 years,MORTGAGE,100000,CA,28,1994
C,4 years,MORTGAGE,60000,AZ,30,2008
C,4 years,MORTGAGE,60000,NV,4,1998
C,10+ years,RENT,20000,CA,29,1998
C,10+ years,MORTGAGE,80000,MA,8,1998
C,n/a,MORTGAGE,40000,NE,22,1993
A,10+ years,RENT,150000,CA,25,1991
C,10+ years,RENT,60000,MN,10,2005
C,5 years,RENT,40000,TX,31,2008
A,10+ years,MORTGAGE,80000,IL,11,1994
C,3 years,RENT,60000,AR,27,2006
C,10+ years,MORTGAGE,60000,NJ,29,1987
C,7 years,RENT,60000,CA,1,2003
A,5 years,OWN,20000,TX,16,1995
C,6 years,MORTGAGE,60000,ME,19,1996
A,10+ years,MORTGAGE,150000,GA,12,2000
C,10+ years,RENT,125000,FL,16,1995
C,2 years,MORTGAGE,40000,CA,35,2007
A,3 years,RENT,20000,CA,14,2012
A,< 1 year,RENT,60000,NY,7,2006
A,10+ years,OWN,40000,LA,16,1991
C,4 years,MORTGAGE,150000,MI,17,2007
C,10+ years,MORTGAGE,125000,NY,7,1995
C,6 years,MORTGAGE,80000,MA,22,2006
C,9 years,MORTGAGE,100000,NY,21,1988
A,5 years,MORTGAGE,40000,TX,27,2001
C,8 years,MORTGAGE,150000,PA,28,1999
A,n/a,RENT,30000,OR,5,1993
C,n/a,MORTGAGE,30000,FL,29,2003
C,3 years,MORTGAGE,150000,IN,20,1995
A,6 years,MORTGAGE,125000,CA,16,2001
A,10+ years,MORTGAGE,60000,MA,16,2002
C,8 years,RENT,30000,CA,7,2001
C,10+ years,MORTGAGE,60000,AZ,19,2006
C,10+ years,RENT,60000,NY,16,1990
A,2 years,MORTGAGE,150000,NY,8,1983
C,2 years,MORTGAGE,60000,TX,12,1996
C,n/a,OWN,40000,OK,18,2001
C,2 years,RENT,100000,NY,15,2004
C,7 years,MORTGAGE,60000,VA,24,2007
C,4 years,MORTGAGE,40000,IL,24,2005
C,2 years,RENT,80000,AZ,27,2008
C,< 1 year,OWN,60000,NJ,5,2011
C,3 years,RENT,100000,CA,19,1992
A,n/a,MORTGAGE,40000,FL,19,1996
C,1 year,OWN,30000,KY,2,2009
A,10+ years,OWN,40000,MO,24,1990
C,< 1 year,MORTGAGE,40000,MN,56,2004
C,3 years,RENT,40000,GA,13,2003
C,2 years,RENT,40000,MI,9,2006
C,10+ years,MORTGAGE,100000,OH,22,2002
C,9 years,RENT,80000,CA,14,2007
C,9 years,MORTGAGE,40000,CA,12,2004
A,10+ years,RENT,100000,CA,30,1995
A,n/a,RENT,20000,OH,23,2005
A,4 years,RENT,80000,CA,17,2003
C,< 1 year,MORTGAGE,40000,OK,9,2000
C,3 years,RENT,30000,TX,25,2006
C,10+ years,RENT,60000,FL,10,2002
C,10+ years,MORTGAGE,60000,WY,14,1987
A,4 years,OWN,40000,TX,13,2013
C,10+ years,RENT,40000,MI,22,2002
A,< 1 year,RENT,30000,MA,13,2001
C,9 years,RENT,30000,CA,14,2013
C,2 years,RENT,60000,AL,30,2000
C,5 years,MORTGAGE,40000,CA,22,2003
C,< 1 year,MORTGAGE,40000,KS,24,2013
C,< 1 year,RENT,100000,WA,11,1999
C,10+ years,RENT,60000,CT,20,2000
C,1 year,RENT,40000,OR,23,2006
C,10+ years,RENT,100000,CA,13,1998
C,3 years,MORTGAGE,40000,FL,13,2013
A,6 years,MORTGAGE,125000,MA,9,1998
C,10+ years,MORTGAGE,60000,KS,28,1996
C,8 years,MORTGAGE,100000,PA,15,2005
C,1 year,RENT,30000,CA,29,2012
C,5 years,OWN,30000,TX,27,2008
C,n/a,MORTGAGE,20000,NY,29,2007
A,9 years,MORTGAGE,80000,CA,20,2001
C,1 year,RENT,150000,OK,14,1994
C,1 year,MORTGAGE,100000,MN,13,2007
C,9 years,MORTGAGE,150000,OK,17,1994
C,4 years,OWN,60000,IL,18,2004
A,10+ years,RENT,60000,MT,34,1998
A,10+ years,RENT,40000,NY,25,2004
C,1 year,MORTGAGE,150000,TX,26,2003
C,2 years,MORTGAGE,100000,TX,12,2006
C,10+ years,OWN,80000,IN,19,2004
C,10+ years,MORTGAGE,80000,TX,20,2000
A,10+ years,RENT,80000,FL,13,1981
C,5 years,MORTGAGE,40000,CO,18,2011
C,3 years,MORTGAGE,100000,FL,27,2004
C,3 years,MORTGAGE,80000,KS,14,2002
C,n/a,MORTGAGE,40000,NJ,14,1989
C,10+ years,MORTGAGE,60000,TX,19,2004
C,3 years,MORTGAGE,40000,WI,24,2002
C,7 years,RENT,60000,FL,4,2012
C,2 years,OWN,40000,TX,24,2004
A,10+ years,MORTGAGE,60000,MA,9,1994
C,10+ years,MORTGAGE,60000,FL,23,1999
C,10+ years,OWN,40000,TX,27,2001
A,2 years,MORTGAGE,150000,AZ,11,1995
C,10+ years,OWN,150000,NY,4,1993
C,10+ years,RENT,150000,CA,4,1999
C,1 year,OWN,80000,LA,25,1988
C,1 year,RENT,30000,MI,25,2009
C,n/a,MORTGAGE,30000,OH,22,1991
C,10+ years,MORTGAGE,80000,IN,29,2007
C,10+ years,MORTGAGE,40000,NY,23,1996
A,10+ years,MORTGAGE,100000,WI,10,1996
C,10+ years,RENT,40000,NC,26,2001
A,2 years,MORTGAGE,60000,IL,12,2002
C,10+ years,MORTGAGE,125000,TX,18,2003
A,9 years,MORTGAGE,40000,CA,11,2005
A,4 years,MORTGAGE,150000,NY,29,1996
A,< 1 year,RENT,80000,GA,14,2005
C,6 years,RENT,60000,NV,23,1992
C,2 years,RENT,60000,NY,22,2003
A,6 years,MORTGAGE,40000,NV,21,2006
C,10+ years,MORTGAGE,40000,TX,16,2004
C,5 years,MORTGAGE,20000,OH,30,2005
C,10+ years,RENT,150000,CA,16,1970
C,5 years,RENT,60000,CA,7,1990
C,10+ years,RENT,100000,VA,7,2001
C,10+ years,RENT,80000,NV,19,2007
A,n/a,OWN,80000,GA,17,1994
C,10+ years,RENT,40000,CT,19,2008
C,1 year,MORTGAGE,100000,VA,28,2002
C,< 1 year,RENT,20000,CA,10,2010
C,< 1 year,MORTGAGE,30000,CA,12,2001
A,10+ years,MORTGAGE,40000,CA,27,2009
C,3 years,RENT,40000,MN,10,2002
C,4 years,OWN,40000,MI,11,2005
C,10+ years,MORTGAGE,100000,NE,21,1999
C,2 years,MORTGAGE,60000,NY,2,2004
C,5 years,RENT,40000,FL,35,1993
C,4 years,OWN,60000,OK,11,2007
C,10+ years,MORTGAGE,80000,GA,12,1997
C,4 years,RENT,20000,OK,7,2004
C,10+ years,MORTGAGE,125000,IL,16,1989
C,5 years,RENT,60000,AR,14,1988
C,9 years,MORTGAGE,100000,OK,22,2011
A,4 years,RENT,60000,NJ,10,2003
A,6 years,MORTGAGE,100000,FL,3,2003
C,4 years,MORTGAGE,150000,VA,23,1999
A,10+ years,OWN,60000,PA,18,2001
A,10+ years,MORTGAGE,150000,NJ,9,1993
C,< 1 year,MORTGAGE,10000,OK,69,2008
A,10+ years,MORTGAGE,60000,TX,16,2005
C,2 years,MORTGAGE,60000,ME,14,2004
A,8 years,MORTGAGE,40000,NJ,11,2003
C,n/a,RENT,10000,VA,17,1991
C,1 year,MORTGAGE,30000,NC,19,2006
C,2 years,RENT,60000,CA,4,2006
C,10+ years,MORTGAGE,100000,CA,3,2001
C,10+ years,MORTGAGE,40000,TX,26,1979
C,< 1 year,MORTGAGE,40000,TX,18,2000
C,4 years,MORTGAGE,20000,CA,24,1994
C,1 year,RENT,40000,CO,27,2002
C,6 years,RENT,40000,IL,19,2003
C,< 1 year,RENT,20000,PA,19,2009
A,9 years,MORTGAGE,80000,CA,3,2006
A,6 years,MORTGAGE,80000,IL,16,2005
C,10+ years,RENT,40000,CA,13,2009
A,3 years,OWN,40000,NM,27,2009
C,10+ years,MORTGAGE,125000,TX,18,1995
C,4 years,RENT,20000,IL,29,1998
C,10+ years,MORTGAGE,40000,AL,13,2008
C,< 1 year,RENT,60000,NC,12,2012
C,2 years,RENT,60000,TX,25,1991
C,6 years,MORTGAGE,40000,MN,23,2007
C,10+ years,MORTGAGE,100000,MD,22,2003
C,8 years,MORTGAGE,30000,FL,33,2005
C,10+ years,MORTGAGE,60000,OH,25,2000
C,< 1 year,RENT,40000,TX,19,2009
C,10+ years,RENT,40000,PA,20,2006
C,6 years,MORTGAGE,150000,OH,8,2007
C,< 1 year,MORTGAGE,40000,KY,16,2011
A,3 years,RENT,80000,CO,28,1987
C,n/a,RENT,30000,MN,20,1984
C,10+ years,RENT,20000,FL,22,2007
C,3 years,RENT,30000,NC,20,2011
A,1 year,OWN,150000,CA,4,2000
A,10+ years,RENT,100000,CA,18,2005
A,< 1 year,RENT,30000,WI,19,2002
C,10+ years,RENT,100000,CA,6,2006
A,10+ years,MORTGAGE,125000,PA,29,1990
C,5 years,OWN,60000,TX,13,1999
C,7 years,RENT,125000,CA,15,2004
C,3 years,RENT,30000,NY,20,1991
A,10+ years,MORTGAGE,100000,FL,12,1997
C,5 years,MORTGAGE,40000,MI,32,2007
C,10+ years,RENT,60000,NM,12,2002
C,n/a,MORTGAGE,40000,WA,25,1998
C,10+ years,MORTGAGE,60000,FL,11,2006
A,1 year,OWN,60000,PA,28,2000
A,10+ years,MORTGAGE,80000,CA,12,2000
C,5 years,RENT,40000,WI,33,1997
C,10+ years,MORTGAGE,60000,CO,31,2002
A,2 years,MORTGAGE,60000,CA,18,2006
A,4 years,OWN,60000,FL,12,2000
C,10+ years,MORTGAGE,80000,WA,23,2003
A,8 years,MORTGAGE,60000,NY,6,2002
A,4 years,RENT,60000,MA,20,1994
C,10+ years,MORTGAGE,100000,FL,5,2003
A,2 years,MORTGAGE,80000,CA,14,1988
C,10+ years,RENT,100000,MD,17,1994
C,9 years,MORTGAGE,150000,CA,18,2001
A,3 years,OWN,150000,NY,9,2000
C,3 years,MORTGAGE,150000,FL,21,2000
A,2 years,RENT,40000,CA,25,2003
C,10+ years,MORTGAGE,80000,AL,18,1995
C,4 years,RENT,30000,NC,28,2005
C,10+ years,OWN,150000,PA,25,1994
C,n/a,MORTGAGE,40000,CA,22,2004
C,7 years,RENT,40000,CA,7,2006
A,2 years,MORTGAGE,80000,KS,19,2001
C,5 years,RENT,30000,TX,6,2004
A,< 1 year,MORTGAGE,60000,IL,20,1999
A,2 years,RENT,40000,NY,22,1996
A,1 year,RENT,40000,MN,2,2011
A,10+ years,RENT,30000,IL,24,2004
C,10+ years,MORTGAGE,40000,IN,11,2003
C,10+ years,MORTGAGE,80000,MN,25,2001
C,10+ years,OWN,80000,VA,20,2007
A,10+ years,OWN,30000,UT,22,2007
A,10+ years,MORTGAGE,30000,FL,28,1997
C,n/a,OWN,20000,FL,8,2013
C,10+ years,MORTGAGE,100000,NV,31,1994
C,7 years,RENT,60000,CT,21,2003
C,10+ years,RENT,40000,TN,19,2002
A,10+ years,MORTGAGE,60000,FL,11,1999
C,10+ years,RENT,60000,TX,32,1993
C,10+ years,OWN,125000,TX,5,2001
C,2 years,MORTGAGE,40000,CT,19,2014
C,1 year,OWN,15000,NH,25,2006
C,10+ years,MORTGAGE,80000,PA,23,2002
A,< 1 year,RENT,80000,CA,17,1993
C,6 years,MORTGAGE,150000,CO,20,1997
A,10+ years,OWN,40000,NY,23,1995
C,< 1 year,RENT,80000,CA,18,2008
A,6 years,MORTGAGE,125000,OH,5,2002
A,10+ years,OWN,60000,NC,5,2001
C,10+ years,RENT,20000,SC,30,2000
C,4 years,RENT,30000,FL,19,2008
A,10+ years,MORTGAGE,150000,TX,7,1983
C,5 years,RENT,40000,TN,14,2013
C,9 years,MORTGAGE,60000,CA,22,1990
C,10+ years,MORTGAGE,60000,TX,23,2001
C,1 year,MORTGAGE,40000,NY,17,2008
C,n/a,MORTGAGE,30000,CA,20,1984
A,2 years,MORTGAGE,100000,WA,11,2002
C,2 years,MORTGAGE,40000,FL,32,1994
A,n/a,MORTGAGE,40000,FL,3,2000
A,5 years,RENT,60000,IL,15,2001
C,2 years,OWN,100000,FL,24,2000
A,5 years,MORTGAGE,80000,MN,12,2011
C,2 years,OWN,20000,IL,19,2006
C,2 years,MORTGAGE,30000,IL,28,2000
C,10+ years,OWN,30000,UT,26,1999
A,10+ years,MORTGAGE,60000,CA,3,2002
C,5 years,MORTGAGE,60000,NJ,17,1997
C,4 years,MORTGAGE,80000,FL,23,2005
C,3 years,RENT,10000,PA,22,2013
C,4 years,RENT,40000,VA,16,2006
C,10+ years,MORTGAGE,40000,MI,23,2005
C,1 year,RENT,20000,GA,17,2003
C,2 years,RENT,30000,CA,15,2013
A,10+ years,RENT,40000,NY,17,1986
C,5 years,MORTGAGE,100000,MA,15,2003
A,10+ years,RENT,60000,NV,21,1999
C,7 years,MORTGAGE,40000,MO,19,2002
C,10+ years,MORTGAGE,100000,CA,7,2010
C,5 years,RENT,80000,OR,14,1996
A,10+ years,RENT,60000,PA,24,1994
C,7 years,RENT,60000,NJ,9,1999
C,4 years,OWN,60000,CO,25,2013
A,10+ years,MORTGAGE,80000,FL,10,2001
C,< 1 year,OWN,30000,NJ,14,2012
C,1 year,MORTGAGE,150000,NJ,16,2000
C,10+ years,RENT,40000,AZ,19,1999
C,10+ years,MORTGAGE,40000,GA,21,2006
C,n/a,OWN,40000,WI,20,2000
A,2 years,OWN,100000,TX,3,2001
C,1 year,RENT,80000,RI,7,2001
C,< 1 year,MORTGAGE,80000,OH,12,2002
C,< 1 year,RENT,40000,TN,22,2009
C,8 years,OWN,60000,TX,19,2001
A,10+ years,MORTGAGE,80000,NY,16,1996
C,2 years,MORTGAGE,100000,NY,34,2000
C,2 years,RENT,20000,UT,27,2004
C,3 years,MORTGAGE,60000,CA,8,1988
C,8 years,RENT,40000,NJ,24,2009
C,1 year,RENT,60000,CA,21,1970
C,10+ years,MORTGAGE,60000,IL,17,1994
C,10+ years,MORTGAGE,100000,CT,11,2003
A,10+ years,MORTGAGE,100000,CO,12,2000
C,2 years,MORTGAGE,125000,IL,18,1990
A,10+ years,RENT,125000,PA,2,2002
C,n/a,MORTGAGE,60000,SC,13,2003
C,n/a,RENT,60000,IN,32,2008
C,n/a,OWN,40000,GA,14,2009
A,1 year,MORTGAGE,125000,UT,10,1994
C,10+ years,RENT,100000,MO,18,1998
A,2 years,RENT,60000,UT,12,2005
C,10+ years,MORTGAGE,80000,NC,12,2001
C,4 years,MORTGAGE,40000,TN,21,1996
A,10+ years,RENT,80000,GA,11,2006
C,10+ years,RENT,60000,OH,19,1996
C,3 years,RENT,60000,GA,14,2007
C,n/a,OWN,80000,CT,22,1984
C,8 years,OWN,20000,FL,24,2010
A,< 1 year,MORTGAGE,100000,MD,31,2005
C,2 years,MORTGAGE,80000,IL,18,1999
C,4 years,MORTGAGE,80000,WI,18,1998
C,10+ years,RENT,40000,LA,20,1986
A,2 years,MORTGAGE,40000,MN,13,1998
C,10+ years,MORTGAGE,80000,TN,34,1994
C,4 years,MORTGAGE,125000,WI,6,2002
C,1 year,RENT,40000,MS,16,2005
C,3 years,MORTGAGE,125000,GA,12,1996
A,10+ years,RENT,60000,PA,11,1985
C,6 years,RENT,150000,NY,1,2002
C,10+ years,RENT,60000,FL,19,1993
C,10+ years,RENT,40000,OR,12,2008
C,6 years,RENT,30000,CA,4,2011
C,10+ years,MORTGAGE,125000,GA,23,2002
A,4 years,RENT,80000,NY,27,1980
C,6 years,MORTGAGE,100000,NY,28,1981
C,10+ years,MORTGAGE,40000,CO,21,2001
A,< 1 year,MORTGAGE,40000,OK,39,2001
A,1 year,RENT,60000,CA,21,2006
A,2 years,OWN,40000,IN,19,2011
C,2 years,MORTGAGE,100000,NJ,17,1990
A,5 years,MORTGAGE,60000,IN,21,1996
C,n/a,RENT,10000,NY,18,2008
C,7 years,MORTGAGE,60000,SC,4,2004
C,5 years,RENT,20000,NC,16,2006
A,1 year,MORTGAGE,40000,NY,21,2006
A,10+ years,OWN,100000,VA,11,1996
A,2 years,MORTGAGE,100000,TX,4,2013
A,3 years,OWN,60000,NJ,16,2000
A,10+ years,MORTGAGE,150000,MO,13,2006
A,10+ years,MORTGAGE,150000,PA,8,2001
A,< 1 year,RENT,60000,CA,12,2005
C,10+ years,MORTGAGE,100000,CA,10,1990
C,8 years,MORTGAGE,100000,CT,11,2005
C,10+ years,MORTGAGE,60000,TN,33,2005
A,7 years,RENT,60000,OR,18,1999
C,10+ years,RENT,80000,MD,19,2005
C,9 years,MORTGAGE,60000,GA,33,1997
C,1 year,RENT,40000,CA,21,2013
C,10+ years,RENT,60000,MA,23,1998
C,1 year,MORTGAGE,60000,UT,8,2006
C,10+ years,MORTGAGE,80000,NJ,15,2000
A,3 years,MORTGAGE,125000,GA,11,1987
C,3 years,MORTGAGE,100000,MI,11,2000
A,10+ years,MORTGAGE,125000,MA,1,2000
C,5 years,RENT,30000,AL,34,1999
C,2 years,MORTGAGE,60000,OH,19,2005
C,< 1 year,RENT,60000,UT,17,2013
C,10+ years,RENT,60000,IL,30,2007
C,2 years,MORTGAGE,150000,CA,9,2003
C,6 years,MORTGAGE,100000,TX,9,2006
C,< 1 year,RENT,80000,NY,8,1999
C,n/a,MORTGAGE,40000,CA,14,2005
A,1 year,RENT,80000,NY,4,1987
A,4 years,MORTGAGE,150000,AL,21,2005
A,10+ years,MORTGAGE,100000,TX,17,2002
C,2 years,RENT,80000,NC,21,1999
C,10+ years,MORTGAGE,60000,TX,15,2001
C,4 years,RENT,80000,VA,7,2002
C,3 years,RENT,125000,CT,15,2002
C,10+ years,MORTGAGE,40000,NC,21,2005
C,n/a,OWN,40000,NV,29,2006
A,4 years,MORTGAGE,80000,NC,29,2000
C,4 years,RENT,40000,CA,20,2004
C,5 years,MORTGAGE,40000,PA,22,2003
A,2 years,RENT,80000,CA,15,2004
C,< 1 year,RENT,150000,FL,19,2000
C,< 1 year,OWN,40000,IN,28,2002
A,10+ years,MORTGAGE,30000,MN,21,2004
A,2 years,OWN,80000,TX,25,2000
C,2 years,RENT,40000,FL,3,2011
A,3 years,RENT,40000,PA,16,2002
C,3 years,MORTGAGE,60000,MI,11,2008
C,10+ years,MORTGAGE,100000,NY,26,2008
C,10+ years,RENT,60000,VA,35,1969
C,10+ years,MORTGAGE,125000,AZ,11,2006
C,4 years,RENT,100000,CA,13,2000
C,10+ years,OWN,30000,VA,30,2002
A,3 years,RENT,80000,CA,14,2002
C,10+ years,MORTGAGE,150000,GA,21,1987
A,9 years,MORTGAGE,60000,OH,22,1997
C,2 years,RENT,40000,NY,34,2005
C,n/a,MORTGAGE,80000,CA,15,1985
A,7 years,RENT,30000,MN,4,2002
C,10+ years,MORTGAGE,60000,IL,26,2006
C,10+ years,OWN,60000,PA,17,1986
A,10+ years,OWN,60000,AK,27,1986
C,5 years,MORTGAGE,60000,RI,17,2001
C,10+ years,RENT,80000,NV,29,2005
A,10+ years,OWN,150000,NY,6,1991
C,< 1 year,MORTGAGE,40000,SC,34,2003
C,4 years,RENT,20000,IL,9,2006
C,10+ years,MORTGAGE,150000,TN,25,2003
C,10+ years,MORTGAGE,40000,TX,10,2001
A,3 years,MORTGAGE,80000,MT,19,2011
A,4 years,RENT,40000,FL,10,2007
C,3 years,OWN,20000,FL,19,2007
C,10+ years,MORTGAGE,80000,NY,11,2000
A,10+ years,OWN,150000,NY,23,1987
C,10+ years,MORTGAGE,60000,GA,4,2002
C,9 years,RENT,125000,CA,16,2003
C,10+ years,MORTGAGE,100000,AZ,4,1992
C,10+ years,OWN,40000,LA,19,2007
C,10+ years,RENT,40000,MD,23,1999
C,10+ years,MORTGAGE,80000,CA,2,1998
C,8 years,RENT,80000,DC,32,2004
C,2 years,RENT,20000,SD,28,2013
C,6 years,MORTGAGE,80000,TX,18,2003
C,5 years,RENT,80000,TX,21,2010
C,8 years,MORTGAGE,40000,TX,4,1996
A,10+ years,MORTGAGE,60000,MI,20,1999
C,< 1 year,MORTGAGE,80000,MD,37,2005
A,4 years,OWN,100000,SD,4,2007
C,< 1 year,RENT,125000,NC,13,2002
C,2 years,RENT,60000,NJ,16,2007
C,6 years,MORTGAGE,80000,TX,27,1996
C,10+ years,MORTGAGE,40000,TX,24,2002
C,10+ years,MORTGAGE,30000,NY,9,1999
A,10+ years,OWN,150000,NJ,12,1989
C,n/a,OWN,20000,IL,8,1993
C,6 years,RENT,30000,OH,17,2005
C,6 years,RENT,20000,VA,54,1996
C,< 1 year,RENT,40000,CA,12,2011
A,1 year,RENT,150000,CA,16,2000
A,10+ years,MORTGAGE,60000,NE,23,1986
C,< 1 year,OWN,20000,CT,21,2007
C,2 years,RENT,60000,VA,20,2004
C,2 years,RENT,40000,OR,22,2001
A,4 years,MORTGAGE,60000,CA,17,2004
C,3 years,RENT,40000,TN,14,2011
C,2 years,RENT,20000,PA,19,2009
A,9 years,MORTGAGE,100000,KY,15,1995
A,n/a,OWN,30000,TX,27,1989
C,2 years,RENT,30000,MN,22,2014
A,10+ years,MORTGAGE,80000,AL,10,2002
C,4 years,OWN,60000,OH,24,2008
A,10+ years,MORTGAGE,60000,TX,46,2000
C,10+ years,MORTGAGE,40000,FL,21,1994
C,6 years,MORTGAGE,60000,MA,25,2007
C,5 years,RENT,40000,WI,31,1983
A,4 years,MORTGAGE,60000,NC,25,1997
C,10+ years,OWN,60000,WA,23,1998
A,10+ years,MORTGAGE,60000,OH,19,1997
C,8 years,MORTGAGE,60000,FL,11,1988
A,1 year,RENT,80000,NC,19,1992
C,3 years,MORTGAGE,150000,MD,11,1990
A,4 years,MORTGAGE,80000,MO,25,1981
A,10+ years,MORTGAGE,40000,TX,10,1993
C,n/a,RENT,60000,CA,16,1991
C,< 1 year,MORTGAGE,60000,KY,28,2002
C,4 years,MORTGAGE,60000,CO,20,2005
A,< 1 year,RENT,20000,TN,26,2008
C,10+ years,MORTGAGE,60000,FL,15,2002
C,7 years,RENT,40000,FL,23,2003
C,n/a,RENT,60000,NY,17,2004
C,1 year,RENT,40000,FL,21,2012
A,2 years,MORTGAGE,20000,NH,12,2011
C,2 years,RENT,40000,FL,8,2005
C,10+ years,MORTGAGE,30000,KY,12,2011
C,1 year,RENT,100000,OH,13,2003
C,9 years,MORTGAGE,80000,TX,3,2008
C,10+ years,RENT,80000,CA,14,1995
A,< 1 year,OWN,100000,CA,11,1995
A,2 years,MORTGAGE,40000,NJ,23,2005
C,3 years,MORTGAGE,60000,KS,27,1998
C,< 1 year,MORTGAGE,80000,CA,22,1980
C,10+ years,RENT,60000,OH,23,1989
C,10+ years,RENT,125000,FL,9,2007
A,1 year,MORTGAGE,125000,IL,25,1984
C,< 1 year,MORTGAGE,60000,CA,17,2007
C,4 years,OWN,100000,ID,33,2004
A,n/a,MORTGAGE,40000,OR,22,1998
A,1 year,MORTGAGE,40000,NV,12,2005
A,3 years,OWN,60000,VA,21,2002
A,6 years,MORTGAGE,80000,CT,12,2007
C,n/a,MORTGAGE,30000,MS,17,2003
C,10+ years,MORTGAGE,100000,MI,27,2001
C,10+ years,OWN,125000,NV,21,1982
C,10+ years,OWN,100000,MI,24,2006
C,10+ years,MORTGAGE,40000,MN,33,1998
C,10+ years,MORTGAGE,60000,TN,32,2009
C,6 years,MORTGAGE,60000,PA,15,1983
C,< 1 year,RENT,20000,CA,28,2011
C,4 years,RENT,80000,CT,8,1994
C,< 1 year,RENT,15000,IN,19,2010
C,< 1 year,RENT,40000,NJ,12,1995
C,10+ years,MORTGAGE,80000,TX,8,1987
A,7 years,RENT,100000,NY,13,2002
C,10+ years,MORTGAGE,100000,MD,22,1995
C,10+ years,MORTGAGE,125000,IN,10,1986
C,10+ years,MORTGAGE,60000,NY,28,2006
A,n/a,MORTGAGE,40000,NH,21,1986
A,3 years,RENT,40000,MA,22,1997
C,10+ years,RENT,100000,LA,15,2008
C,8 years,MORTGAGE,40000,TX,14,1998
C,3 years,MORTGAGE,30000,TX,22,2010
C,< 1 year,MORTGAGE,40000,NY,14,1995
C,3 years,MORTGAGE,150000,CA,21,1990
A,6 years,MORTGAGE,40000,GA,52,2004
A,10+ years,MORTGAGE,125000,CO,18,1991
C,10+ years,MORTGAGE,30000,MN,34,2003
A,10+ years,OWN,60000,NC,10,1986
A,10+ years,MORTGAGE,60000,NV,13,2000
C,2 years,RENT,60000,FL,22,2003
C,10+ years,MORTGAGE,40000,KS,5,1993
C,10+ years,MORTGAGE,60000,PA,22,1987
A,3 years,RENT,60000,NY,11,2005
C,10+ years,RENT,60000,NY,9,2000
A,10+ years,OWN,80000,MI,16,1998
A,< 1 year,MORTGAGE,125000,FL,22,1987
C,7 years,OWN,20000,NJ,15,1995
C,2 years,RENT,80000,FL,18,2001
C,5 years,RENT,40000,NY,17,2012
C,3 years,RENT,60000,TX,17,2012
C,3 years,RENT,60000,PA,7,2005
C,4 years,MORTGAGE,100000,MI,15,2004
C,7 years,MORTGAGE,60000,NC,32,2008
A,3 years,MORTGAGE,100000,MN,6,2006
A,10+ years,MORTGAGE,150000,CA,19,2001
A,10+ years,RENT,80000,TX,12,2002
C,10+ years,MORTGAGE,150000,PA,10,1984
A,< 1 year,RENT,60000,FL,15,2006
A,3 years,OWN,40000,PA,18,2006
C,10+ years,OWN,60000,PA,25,1989
C,4 years,RENT,80000,SC,19,2005
A,10+ years,MORTGAGE,125000,WA,6,2004
C,10+ years,MORTGAGE,150000,TX,8,2009
A,10+ years,OWN,40000,MS,25,2004
C,4 years,RENT,40000,CA,20,1992
C,6 years,RENT,60000,OH,14,2013
C,10+ years,MORTGAGE,40000,MA,19,2006
A,5 years,RENT,60000,KS,16,2012
A,2 years,RENT,100000,CA,13,2002
C,4 years,MORTGAGE,80000,AR,10,2003
C,10+ years,MORTGAGE,60000,NY,15,1999
A,2 years,RENT,60000,NY,23,2006
A,10+ years,MORTGAGE,100000,NJ,20,1985
C,10+ years,OWN,100000,IN,9,1998
A,10+ years,MORTGAGE,100000,TN,10,1986
A,5 years,OWN,150000,TX,25,1999
C,5 years,RENT,40000,NY,7,2009
C,< 1 year,MORTGAGE,40000,IL,47,2003
A,3 years,MORTGAGE,150000,MN,6,1993
A,10+ years,MORTGAGE,30000,UT,16,2006
C,3 years,MORTGAGE,20000,TX,29,2010
C,4 years,MORTGAGE,40000,TX,16,2005
A,10+ years,MORTGAGE,125000,WA,14,2004
C,< 1 year,OWN,150000,CO,5,2005
A,< 1 year,RENT,60000,CO,7,2004
C,n/a,RENT,40000,CT,25,2005
C,10+ years,RENT,30000,MD,32,2003
A,7 years,RENT,40000,AZ,23,1995
C,10+ years,MORTGAGE,150000,CA,22,1986
